layer_idx,k_delta_compressibility,v_delta_compressibility,k_delta_norm,k_abs_norm,v_delta_norm,v_abs_norm,channel_structure_ratio,k_var_channel,k_var_token,k_outlier_fraction,sv_top50_energy,effective_rank_90,seq_len,head_dim,n_heads
0,0.047743224397646,-0.3684700237383256,7.643101692199707,8.0263032913208,0.12503094971179962,0.0913655012845993,1.728262326069876,1.5721116065979004,0.9096487164497375,0.0157928466796875,0.9873306751251221,20,512,64,4
1,0.4596380134999539,-0.44284430287550025,9.934667587280273,18.385208129882812,0.3115694522857666,0.2159411460161209,1.8900837279219578,5.46793270111084,2.892957925796509,0.00530242919921875,0.9784454107284546,22,512,64,4
2,0.3295040744186797,-0.44977850000221387,11.420599937438965,17.033063888549805,0.47817113995552063,0.3298235833644867,1.5921364939674616,4.754329204559326,2.9861316680908203,0.00514984130859375,0.9740003943443298,24,512,64,4
3,0.4577958190318784,-0.33690879093042336,9.501546859741211,17.523927688598633,1.194118857383728,0.8931939601898193,2.219866775174387,4.840532302856445,2.1805508136749268,0.01911163330078125,0.9484090209007263,25,512,64,4
4,0.3635957475566921,-0.2570005975392635,11.908140182495117,18.711597442626953,1.4700257778167725,1.169471025466919,2.05567225767257,5.4987688064575195,2.674924850463867,0.01609039306640625,0.9104706645011902,31,512,64,4
5,0.42712351516813085,-0.23291212846961584,11.087769508361816,19.354555130004883,1.4589000940322876,1.1832960844039917,2.2343301175953427,5.89922571182251,2.640265941619873,0.01744842529296875,0.9400063753128052,25,512,64,4
6,0.43310550589734864,-0.15622258728848015,11.455382347106934,20.207256317138672,1.3768999576568604,1.190860629081726,2.1342879378426285,6.371748924255371,2.9854214191436768,0.017669677734375,0.9484086036682129,23,512,64,4
7,0.4714170425441384,-0.18438928269519383,9.47075080871582,17.917245864868164,1.5542943477630615,1.312317132949829,2.3887529273597585,5.0782880783081055,2.125916004180908,0.0174407958984375,0.9638901948928833,17,512,64,4
8,0.3809600375668937,-0.04671362567249515,13.441954612731934,21.714195251464844,1.62282133102417,1.5503966808319092,2.084845442457539,7.6006364822387695,3.6456594467163086,0.0225982666015625,0.9340681433677673,26,512,64,4
9,0.4500425641341972,-0.12286128870107915,11.682600021362305,21.242734909057617,1.6640549898147583,1.4819773435592651,2.2545717752428334,7.080260276794434,3.1404013633728027,0.0159912109375,0.949448823928833,22,512,64,4
10,0.4321566788891479,-0.10290180662259485,11.59003734588623,20.410625457763672,1.674520492553711,1.518286108970642,1.9703696001599313,6.54203987121582,3.320209503173828,0.01721954345703125,0.9313112497329712,27,512,64,4
11,0.49014690560533447,-0.018917529845170478,10.733805656433105,21.05274200439453,1.892781138420105,1.857639193534851,2.0545812364925733,7.064472675323486,3.4384002685546875,0.0187835693359375,0.948227047920227,20,512,64,4
12,0.49170603581447103,-0.026794484139636143,10.714858055114746,21.080041885375977,1.7318261861801147,1.6866337060928345,2.1362372371703753,6.954090118408203,3.255298614501953,0.01711273193359375,0.9516064524650574,20,512,64,4
13,0.4827454775740242,0.007804340783418406,11.04616641998291,21.355379104614258,1.788261890411377,1.8023278713226318,2.1504320277819655,7.260747909545898,3.376413583755493,0.01996612548828125,0.9482171535491943,22,512,64,4
14,0.48949238726436883,0.022297648217034838,10.972176551818848,21.492679595947266,1.8543213605880737,1.8966113328933716,2.1802620860348805,7.359988689422607,3.3757357597351074,0.01799774169921875,0.9390107989311218,24,512,64,4
15,0.4782829850668755,-0.06876477287389626,11.036593437194824,21.154367446899414,2.365879535675049,2.213657855987549,2.0390040859060736,7.074364185333252,3.4695193767547607,0.01709747314453125,0.9354384541511536,25,512,64,4
16,0.49148565006923295,0.02806974158843001,10.9308500289917,21.495656967163086,2.0540032386779785,2.11332368850708,2.0892147798641885,7.265225887298584,3.4774911403656006,0.01744842529296875,0.9322072267532349,26,512,64,4
17,0.46098465269960875,-0.13770968903259728,10.740910530090332,19.926910400390625,3.015320301055908,2.6503424644470215,2.044666427111787,6.2487077713012695,3.0561013221740723,0.0182647705078125,0.9428586959838867,22,512,64,4
18,0.4552922526329377,-0.100611074256993,11.042482376098633,20.272306442260742,3.2713043689727783,2.972261905670166,2.097791888080019,6.540952682495117,3.1180179119110107,0.01385498046875,0.9560766816139221,20,512,64,4
19,0.4692075869602339,-0.11340686812649947,10.49998950958252,19.78172492980957,3.694807291030884,3.318470001220703,2.1408588517246896,6.197206497192383,2.8947291374206543,0.01639556884765625,0.9382041692733765,25,512,64,4
20,0.44736200259908143,-0.030354964361238856,11.102503776550293,20.090011596679688,3.565958023071289,3.460902452468872,2.0369522303254866,6.303412914276123,3.094531536102295,0.01767730712890625,0.9448085427284241,24,512,64,4
21,0.43019199562424604,-0.07971807038654966,11.075483322143555,19.437219619750977,4.0391459465026855,3.740926504135132,2.067734414672207,5.985102653503418,2.894521951675415,0.01660919189453125,0.9196606278419495,29,512,64,4
