model_name,context_type,layer_idx,effective_rank_90
TinyLlama,prose,0,20
TinyLlama,prose,1,22
TinyLlama,prose,2,24
TinyLlama,prose,3,25
TinyLlama,prose,4,31
TinyLlama,prose,5,25
TinyLlama,prose,6,23
TinyLlama,prose,7,17
TinyLlama,prose,8,26
TinyLlama,prose,9,22
TinyLlama,prose,10,27
TinyLlama,prose,11,20
TinyLlama,prose,12,20
TinyLlama,prose,13,22
TinyLlama,prose,14,24
TinyLlama,prose,15,25
TinyLlama,prose,16,26
TinyLlama,prose,17,22
TinyLlama,prose,18,20
TinyLlama,prose,19,25
TinyLlama,prose,20,24
TinyLlama,prose,21,29
TinyLlama,code,0,15
TinyLlama,code,1,23
TinyLlama,code,2,24
TinyLlama,code,3,30
TinyLlama,code,4,28
TinyLlama,code,5,25
TinyLlama,code,6,24
TinyLlama,code,7,16
TinyLlama,code,8,28
TinyLlama,code,9,23
TinyLlama,code,10,28
TinyLlama,code,11,18
TinyLlama,code,12,19
TinyLlama,code,13,25
TinyLlama,code,14,25
TinyLlama,code,15,25
TinyLlama,code,16,26
TinyLlama,code,17,20
TinyLlama,code,18,19
TinyLlama,code,19,24
TinyLlama,code,20,24
TinyLlama,code,21,30
Qwen,prose,0,1
Qwen,prose,1,18
Qwen,prose,2,1
Qwen,prose,3,25
Qwen,prose,4,18
Qwen,prose,5,24
Qwen,prose,6,26
Qwen,prose,7,22
Qwen,prose,8,1
Qwen,prose,9,21
Qwen,prose,10,18
Qwen,prose,11,24
Qwen,prose,12,17
Qwen,prose,13,25
Qwen,prose,14,16
Qwen,prose,15,21
Qwen,prose,16,19
Qwen,prose,17,13
Qwen,prose,18,27
Qwen,prose,19,25
Qwen,prose,20,12
Qwen,prose,21,12
Qwen,prose,22,17
Qwen,prose,23,18
Qwen,code,0,1
Qwen,code,1,18
Qwen,code,2,1
Qwen,code,3,23
Qwen,code,4,17
Qwen,code,5,23
Qwen,code,6,25
Qwen,code,7,22
Qwen,code,8,1
Qwen,code,9,20
Qwen,code,10,19
Qwen,code,11,23
Qwen,code,12,15
Qwen,code,13,25
Qwen,code,14,15
Qwen,code,15,22
Qwen,code,16,18
Qwen,code,17,14
Qwen,code,18,25
Qwen,code,19,24
Qwen,code,20,12
Qwen,code,21,11
Qwen,code,22,14
Qwen,code,23,14
