codec_name,model_name,context_type,perplexity,loss,inference_ms,effective_compression_ratio
baseline,TinyLlama,prose,5.801360869026074,1.7580925226211548,30724.293699953705,0.0
delta_fp16,TinyLlama,prose,5.801325598751801,1.7580864429473877,29781.948499847203,3.814697265625e-06
delta_int8,TinyLlama,prose,5.875575705087083,1.7708040475845337,29569.18270001188,0.497802734375
delta_int4,TinyLlama,prose,19261.39433292378,9.86585807800293,30218.057800084352,0.746826171875
quant_int8,TinyLlama,prose,5.766240792167657,1.7520203590393066,29807.960600126535,0.49993896484375
quant_int4,TinyLlama,prose,10.298017281624325,2.331951379776001,36471.17379959673,0.74993896484375
kivi_int8,TinyLlama,prose,5.802962088648956,1.7583684921264648,38172.52160003409,0.4375
kivi_int4,TinyLlama,prose,5.813448362921223,1.7601739168167114,38217.97959972173,0.6875
kivi_int2,TinyLlama,prose,5.938977948150964,1.7815370559692383,38129.48750006035,0.8125
svd_r0.8,TinyLlama,prose,5.885429808164323,1.772479772567749,38504.27980022505,0.00079345703125
svd_r0.5,TinyLlama,prose,6.3402743474772265,1.8469220399856567,38448.076399974525,0.373046875
baseline,TinyLlama,code,1.6768831107696403,0.5169367790222168,31251.329800114036,0.0
delta_fp16,TinyLlama,code,1.6762419540320275,0.5165543556213379,29835.285200271755,3.814697265625e-06
delta_int8,TinyLlama,code,1.6791963489568484,0.518315315246582,29764.317499939352,0.497802734375
delta_int4,TinyLlama,code,31769.483899754392,10.36626148223877,30378.715300001204,0.746826171875
quant_int8,TinyLlama,code,1.6752042915875207,0.5159351229667664,29508.752800058573,0.49993896484375
quant_int4,TinyLlama,code,8.522522411052105,2.142712354660034,29769.743400160223,0.74993896484375
kivi_int8,TinyLlama,code,1.6768163454840148,0.5168969631195068,32363.27109998092,0.4375
kivi_int4,TinyLlama,code,1.679191344569211,0.5183123350143433,38236.21940007433,0.6875
kivi_int2,TinyLlama,code,1.731172489812927,0.5487989187240601,38275.798600167036,0.8125
svd_r0.8,TinyLlama,code,1.7435740386709742,0.5559370517730713,38465.47339996323,0.00079345703125
svd_r0.5,TinyLlama,code,1.8878322318202136,0.6354292035102844,38496.28550000489,0.373046875
baseline,Qwen,prose,7.549335751583619,2.0214595794677734,21553.75889968127,0.0
delta_fp16,Qwen,prose,7.54938434909142,2.021466016769409,21398.81269959733,7.62939453125e-06
delta_int8,Qwen,prose,7.814028163724599,2.0559206008911133,21416.732900310308,0.49755859375
delta_int4,Qwen,prose,982413.559949705,13.797767639160156,21544.47909956798,0.74658203125
quant_int8,Qwen,prose,7.584479387928774,2.026103973388672,21487.983299884945,0.4998779296875
quant_int4,Qwen,prose,24.772642603957117,3.209739923477173,21330.032899975777,0.7498779296875
kivi_int8,Qwen,prose,7.55103144958783,2.021684169769287,21631.16400036961,0.4375
kivi_int4,Qwen,prose,7.521576628276538,2.017775774002075,21260.244800243527,0.6875
kivi_int2,Qwen,prose,8.238384146136257,2.108804225921631,22064.54679975286,0.8125
svd_r0.8,Qwen,prose,8.076834182413817,2.0889999866485596,21770.8878996782,0.00079345703125
svd_r0.5,Qwen,prose,8.375007794842087,2.1252520084381104,20146.8234998174,0.373046875
baseline,Qwen,code,1.992531573492328,0.6894059777259827,18286.66720027104,0.0
delta_fp16,Qwen,code,1.9918908252573908,0.6890843510627747,18236.875399947166,7.62939453125e-06
delta_int8,Qwen,code,2.226898935644684,0.8006100058555603,18214.73059989512,0.49755859375
delta_int4,Qwen,code,582312.2842140734,13.274762153625488,18352.333400398493,0.74658203125
quant_int8,Qwen,code,1.9939982562997824,0.6901417970657349,18198.24879989028,0.4998779296875
quant_int4,Qwen,code,3.147778371628345,1.146696925163269,18248.387700412422,0.7498779296875
kivi_int8,Qwen,code,1.9911796651026257,0.6887272596359253,18264.18190030381,0.4375
kivi_int4,Qwen,code,2.011924751548421,0.6990918517112732,18199.77020006627,0.6875
kivi_int2,Qwen,code,2.171436685806681,0.7753890156745911,18234.55230006948,0.8125
svd_r0.8,Qwen,code,2.030882452269527,0.7084704041481018,23057.485500350595,0.00079345703125
svd_r0.5,Qwen,code,2.0148865565690746,0.7005628943443298,18097.154200077057,0.373046875
