family,bits,perplexity,model_name,context_type,codec_name
Delta,16,5.801325598751801,TinyLlama,prose,delta_fp16
Delta,8,5.875575705087083,TinyLlama,prose,delta_int8
Delta,4,19261.39433292378,TinyLlama,prose,delta_int4
Quantization,8,5.766240792167657,TinyLlama,prose,quant_int8
Quantization,4,10.298017281624324,TinyLlama,prose,quant_int4
KIVI,8,5.802962088648956,TinyLlama,prose,kivi_int8
KIVI,4,5.813448362921223,TinyLlama,prose,kivi_int4
KIVI,2,5.938977948150964,TinyLlama,prose,kivi_int2
Delta,16,1.6762419540320277,TinyLlama,code,delta_fp16
Delta,8,1.6791963489568484,TinyLlama,code,delta_int8
Delta,4,31769.483899754392,TinyLlama,code,delta_int4
Quantization,8,1.6752042915875207,TinyLlama,code,quant_int8
Quantization,4,8.522522411052105,TinyLlama,code,quant_int4
KIVI,8,1.6768163454840148,TinyLlama,code,kivi_int8
KIVI,4,1.679191344569211,TinyLlama,code,kivi_int4
KIVI,2,1.731172489812927,TinyLlama,code,kivi_int2
Delta,16,7.54938434909142,Qwen,prose,delta_fp16
Delta,8,7.814028163724599,Qwen,prose,delta_int8
Delta,4,982413.559949705,Qwen,prose,delta_int4
Quantization,8,7.584479387928774,Qwen,prose,quant_int8
Quantization,4,24.77264260395712,Qwen,prose,quant_int4
KIVI,8,7.55103144958783,Qwen,prose,kivi_int8
KIVI,4,7.521576628276538,Qwen,prose,kivi_int4
KIVI,2,8.238384146136257,Qwen,prose,kivi_int2
Delta,16,1.9918908252573908,Qwen,code,delta_fp16
Delta,8,2.226898935644684,Qwen,code,delta_int8
Delta,4,582312.2842140734,Qwen,code,delta_int4
Quantization,8,1.9939982562997824,Qwen,code,quant_int8
Quantization,4,3.147778371628345,Qwen,code,quant_int4
KIVI,8,1.9911796651026257,Qwen,code,kivi_int8
KIVI,4,2.011924751548421,Qwen,code,kivi_int4
KIVI,2,2.171436685806681,Qwen,code,kivi_int2
