method,target_reduction,compression_axis,perplexity,delta_ppl,model_name,context_type
delta_int8,2x,precision,5.875575705087083,0.07421483606100931,TinyLlama,prose
quant_int8,2x,precision,5.766240792167657,-0.03512007685841745,TinyLlama,prose
kivi_int4,2x,precision,5.813448362921223,0.01208749389514896,TinyLlama,prose
svd_r0.5,2x,dimension,6.3402743474772265,0.5389134784511525,TinyLlama,prose
knorm_0.5,2x,eviction,55.91543317062747,50.1140723016014,TinyLlama,prose
snapkv_0.5,2x,eviction,54.25820083618932,48.45683996716324,TinyLlama,prose
delta_int4,4x,precision,19261.39433292378,19255.592972054754,TinyLlama,prose
quant_int4,4x,precision,10.298017281624325,4.496656412598251,TinyLlama,prose
kivi_int2,4x,precision,5.938977948150964,0.1376170791248903,TinyLlama,prose
svd_r0.25,4x,dimension,7.526481063943792,1.725120194917718,TinyLlama,prose
knorm_0.75,4x,eviction,61.31365405535435,55.51229318632827,TinyLlama,prose
snapkv_0.75,4x,eviction,827.2186724176031,821.417311548577,TinyLlama,prose
delta_int8,2x,precision,7.814028163724599,0.26469241214098016,Qwen,prose
quant_int8,2x,precision,7.584479387928774,0.035143636345155826,Qwen,prose
kivi_int4,2x,precision,7.521576628276538,-0.027759123307080635,Qwen,prose
svd_r0.5,2x,dimension,8.375007794842087,0.8256720432584688,Qwen,prose
knorm_0.5,2x,eviction,5.770288186370707,-1.7790475652129114,Qwen,prose
snapkv_0.5,2x,eviction,5.911413143698585,-1.6379226078850335,Qwen,prose
delta_int4,4x,precision,982413.559949705,982406.0106139535,Qwen,prose
quant_int4,4x,precision,24.772642603957117,17.223306852373497,Qwen,prose
kivi_int2,4x,precision,8.238384146136257,0.6890483945526382,Qwen,prose
svd_r0.25,4x,dimension,8.736919926230863,1.1875841746472444,Qwen,prose
knorm_0.75,4x,eviction,5.632550477098543,-1.9167852744850755,Qwen,prose
snapkv_0.75,4x,eviction,2.1162636143524693,-5.433072137231149,Qwen,prose
